NameMovie,EnNameMovie,Year,Rating_runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter_Star,User_reviews,CriticReviews_Metascore
12 Kỵ Binh Quả Cảm,12 Strong,2018,C18C182h 10m,6.5/10,80K,61,ActionDramaHistory,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",Nicolai Fuglsig,"WritersTed TallyPeter CraigDoug Stanton(based on the book, ""Horse Soldiers"" by)StarsChris HemsworthMichael ShannonMichael Peña",429,169 54
Avengers: Cuộc Chiến Vô Cực,Avengers: Infinity War,2018,C16C162h 29m,8.4/10,1M,108,ActionAdventureSci-Fi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,DirectorsAnthony RussoJoe RussoWritersChristopher Markus(screenplay by)Stephen McFeely(screenplay by)Stan Lee(based on the Marvel comics by)StarsRobert Downey Jr.Chris HemsworthMark Ruffalo,4.5K,628 68
Thế Giới Khủng Long: Vương Quốc Sụp Đổ,Jurassic World: Fallen Kingdom,2018,C13C132h 8m,6.1/10,310K,149,ActionAdventureSci-Fi,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",J.A. Bayona,WritersDerek ConnollyColin TrevorrowMichael Crichton(based on characters created by)StarsChris PrattBryce Dallas HowardRafe Spall,1.9K,467 51
Chiến Binh Báo Đen,Black Panther,2018,C16C162h 14m,7.3/10,733K,214,ActionAdventureSci-Fi,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,WritersRyan CooglerJoe Robert ColeStan Lee(based on the Marvel comics by)StarsChadwick BosemanMichael B. JordanLupita Nyong'o,3.4K,512 88
Chiến Dịch Overlord,Overlord,2018,RR1h 50m,6.6/10,98K,222,ActionHorrorSci-Fi,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.,Julius Avery,WritersBilly Ray(screenplay by)Mark L. Smith(screenplay by)StarsJovan AdepoWyatt RussellMathilde Ollivier,828,288 60
Nhiệm Vụ Bất Khả Thi: Sụp Đổ,Mission: Impossible - Fallout,2018,C16C162h 27m,7.7/10,326K,307,ActionAdventureThriller,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,WritersBruce Geller(based on the television series created by)Christopher McQuarrieStarsTom CruiseHenry CavillVing Rhames,1.7K,473 86
Aquaman: Đế Vương Atlantis,Aquaman,2018,C13C132h 23m,6.8/10,461K,309,ActionAdventureFantasy,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan,WritersDavid Leslie Johnson-McGoldrick(screenplay by)Will Beall(screenplay by)Geoff Johns(story by)StarsJason MomoaAmber HeardWillem Dafoe,4.4K,464 55
Người Nhện: Vũ Trụ Mới,Spider-Man: Into the Spider-Verse,2018,PP1h 57m,8.4/10,503K,354,AnimationActionAdventure,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,DirectorsBob PersichettiPeter RamseyRodney RothmanWritersPhil Lord(screenplay by)Rodney Rothman(screenplay by)StarsShameik Moore(voice)Jake Johnson(voice)Hailee Steinfeld(voice),2.1K,422 87
Ẩn Thân,Leave No Trace,2018,PGPG1h 49m,7.1/10,59K,144,AdventureDrama,"A father and his thirteen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.",Debra Granik,"WritersDebra Granik(screenplay by)Anne Rosellini(screenplay by)Peter Rock(based on the novel ""My Abandonment"" by)StarsThomasin McKenzieBen FosterJeffery Rifflard",381,201 88
Sinh Vật Huyền Bí: Tội Ác Của Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,C13C132h 14m,6.5/10,277K,311,AdventureFamilyFantasy,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",David Yates,WriterJ.K. Rowling(based upon characters created by)StarsEddie RedmayneKatherine WaterstonDan Fogler,1.6K,351 52
